Organization : org1
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy production power in MW>
202101021230, 83
202101021245, 99
202101021300, 87
202101021315, 82
202101021330, 97
202101021345, 83
202101021400, 75
202101021415, 70
202101021430, 97
202101021445, 71
202101021500, 71
202101021515, 97
202101021530, 75
202101021545, 70
202101021600, 86
202101021615, 83
202101021630, 72
202101021645, 75
202101021700, 87
202101021715, 99
202101021730, 91
202101021745, 85
202101021800, 79
202101021815, 75
202101021830, 97
202101021845, 91
202101021900, 99
202101021915, 88
202101021930, 91
202101021945, 92
202101022000, 87
202101022015, 72
202101022030, 91
202101022045, 82
202101022100, 86
202101022115, 81
202101022130, 78
202101022145, 96
202101022200, 95
202101022215, 80
202101022230, 73
202101022245, 78
202101022300, 75
202101022315, 82
202101022330, 86
202101022345, 79
202101030000, 84
202101030015, 83
202101030030, 93
202101030045, 87
202101030100, 87
202101030115, 97
202101030130, 96
202101030145, 86
202101030200, 71
202101030215, 97
202101030230, 77
202101030245, 88
202101030300, 98
202101030315, 72
202101030330, 74
202101030345, 76
202101030400, 73
202101030415, 94
202101030430, 83
202101030445, 89
202101030500, 72
202101030515, 73
202101030530, 73
202101030545, 91
202101030600, 89
202101030615, 85
202101030630, 88
202101030645, 89
202101030700, 82
202101030715, 75
202101030730, 78
202101030745, 91
202101030800, 97
202101030815, 99
202101030830, 78
202101030845, 90
202101030900, 72
202101030915, 87
202101030930, 95
202101030945, 76
202101031000, 84
202101031015, 90
202101031030, 92
202101031045, 76
202101031100, 84
202101031115, 78
202101031130, 70
202101031145, 75
202101031200, 96
202101031215, 98
202101031230, 79
202101031245, 74
202101031300, 86
202101031315, 78
202101031330, 91
202101031345, 74
202101031400, 74
202101031415, 91
202101031430, 81
202101031445, 87
202101031500, 75
202101031515, 74
202101031530, 88
202101031545, 83
202101031600, 72
202101031615, 71
202101031630, 79
202101031645, 90
202101031700, 92
202101031715, 77
202101031730, 71
202101031745, 72
202101031800, 93
202101031815, 99
202101031830, 77
202101031845, 83
202101031900, 79
202101031915, 95
202101031930, 80
202101031945, 80
202101032000, 97
202101032015, 74
202101032030, 97
202101032045, 78
202101032100, 78
202101032115, 72
202101032130, 88
202101032145, 70
202101032200, 89
202101032215, 81
202101032230, 83
202101032245, 74
202101032300, 84
202101032315, 80
202101032330, 72
202101032345, 72
202101040000, 79
202101040015, 80
202101040030, 80
202101040045, 74
202101040100, 90
202101040115, 79
202101040130, 93
202101040145, 99
202101040200, 94
202101040215, 79
202101040230, 99
202101040245, 94
202101040300, 79
202101040315, 79
202101040330, 93
202101040345, 99
202101040400, 80
202101040415, 74
202101040430, 83
202101040445, 94
202101040500, 82
202101040515, 76
202101040530, 76
202101040545, 85
202101040600, 88
202101040615, 81
202101040630, 80
202101040645, 91
202101040700, 99
202101040715, 86
202101040730, 90
202101040745, 73
202101040800, 90
202101040815, 92
202101040830, 94
202101040845, 74
202101040900, 77
202101040915, 92
202101040930, 78
202101040945, 91
202101041000, 88
202101041015, 82
202101041030, 73
202101041045, 94
202101041100, 95
202101041115, 97
202101041130, 70
202101041145, 89
202101041200, 91
202101041215, 87
202101041230, 80
202101041245, 93
202101041300, 78
202101041315, 84
202101041330, 71
202101041345, 73
202101041400, 95
202101041415, 84
202101041430, 73
202101041445, 71
202101041500, 89
202101041515, 82
202101041530, 90
202101041545, 71
202101041600, 98
202101041615, 98
202101041630, 83
202101041645, 78
202101041700, 94
202101041715, 85
202101041730, 71
202101041745, 99
202101041800, 78
202101041815, 85
202101041830, 85
202101041845, 76
202101041900, 80
202101041915, 99
202101041930, 78
202101041945, 87
202101042000, 98
202101042015, 77
202101042030, 92
202101042045, 78
202101042100, 82
202101042115, 72
202101042130, 91
202101042145, 91
202101042200, 91
202101042215, 92
202101042230, 85
202101042245, 98
202101042300, 76
202101042315, 98
202101042330, 81
202101042345, 76
202101050000, 71
202101050015, 83
202101050030, 91
202101050045, 72
202101050100, 72
202101050115, 94
202101050130, 80
202101050145, 95
202101050200, 73
202101050215, 96
202101050230, 96
202101050245, 81
202101050300, 75
202101050315, 83
202101050330, 73
202101050345, 77
202101050400, 94
202101050415, 71
202101050430, 85
202101050445, 84
202101050500, 70
202101050515, 71
202101050530, 95
202101050545, 98
202101050600, 78
202101050615, 74
202101050630, 81
202101050645, 77
202101050700, 94
202101050715, 70
202101050730, 94
202101050745, 93
202101050800, 80
202101050815, 87
202101050830, 70
202101050845, 74
202101050900, 75
202101050915, 92
202101050930, 87
202101050945, 94
202101051000, 80
202101051015, 75
202101051030, 91
202101051045, 91
202101051100, 72
202101051115, 74
202101051130, 81
202101051145, 84
202101051200, 73
202101051215, 77
202101051230, 91
202101051245, 97
202101051300, 82
202101051315, 93
202101051330, 98
202101051345, 72
202101051400, 92
202101051415, 84
202101051430, 74
202101051445, 93
202101051500, 85
202101051515, 77
202101051530, 86
202101051545, 75
202101051600, 91
202101051615, 84
202101051630, 73
202101051645, 77
202101051700, 98
202101051715, 70
202101051730, 81
202101051745, 97
202101051800, 98
202101051815, 76
202101051830, 86
202101051845, 75
202101051900, 82
202101051915, 91
202101051930, 89
202101051945, 77
202101052000, 72
202101052015, 83
202101052030, 73
202101052045, 85
202101052100, 89
202101052115, 73
202101052130, 83
202101052145, 81
202101052200, 80
202101052215, 83
202101052230, 85
202101052245, 98
202101052300, 70
202101052315, 87
202101052330, 80
202101052345, 73
202101060000, 70
202101060015, 87
202101060030, 85
202101060045, 97
202101060100, 77
202101060115, 86
202101060130, 73
202101060145, 96
202101060200, 88
202101060215, 71
202101060230, 88
202101060245, 96
202101060300, 79
202101060315, 84
202101060330, 86
202101060345, 80
202101060400, 74
202101060415, 74
202101060430, 97
202101060445, 84
202101060500, 94
202101060515, 96
202101060530, 71
202101060545, 70
202101060600, 78
202101060615, 73
202101060630, 90
202101060645, 80
202101060700, 75
202101060715, 93
202101060730, 71
202101060745, 74
202101060800, 91
202101060815, 73
202101060830, 87
202101060845, 81
202101060900, 83
202101060915, 74
202101060930, 96
202101060945, 84
202101061000, 85
202101061015, 70
202101061030, 81
202101061045, 99
202101061100, 79
202101061115, 98
202101061130, 82
202101061145, 79
202101061200, 72
202101061215, 70
202101061230, 92
202101061245, 99
202101061300, 82
202101061315, 77
202101061330, 89
202101061345, 81
202101061400, 95
202101061415, 93
202101061430, 89
202101061445, 75
202101061500, 79
202101061515, 81
202101061530, 71
202101061545, 70
202101061600, 76
202101061615, 95
202101061630, 76
202101061645, 87
202101061700, 75
202101061715, 98
202101061730, 83
202101061745, 94
202101061800, 96
202101061815, 74
202101061830, 97
202101061845, 82
202101061900, 85
202101061915, 73
202101061930, 93
202101061945, 81
202101062000, 91
202101062015, 87
202101062030, 83
202101062045, 85
202101062100, 87
202101062115, 82
202101062130, 98
202101062145, 70
202101062200, 75
202101062215, 72
202101062230, 77
202101062245, 74
202101062300, 90
202101062315, 76
202101062330, 75
202101062345, 70
202101070000, 74
202101070015, 97
202101070030, 92
202101070045, 92
202101070100, 75
202101070115, 90
202101070130, 95
202101070145, 91
202101070200, 87
202101070215, 71
202101070230, 95
202101070245, 82
202101070300, 97
202101070315, 73
202101070330, 77
202101070345, 96
202101070400, 85
202101070415, 79
202101070430, 70
202101070445, 94
202101070500, 82
202101070515, 80
202101070530, 90
202101070545, 97
202101070600, 87
202101070615, 71
202101070630, 78
202101070645, 99
202101070700, 84
202101070715, 73
202101070730, 99
202101070745, 92
202101070800, 86
202101070815, 88
202101070830, 80
202101070845, 79
202101070900, 96
202101070915, 92
202101070930, 97
202101070945, 78
202101071000, 88
202101071015, 92
202101071030, 73
202101071045, 92
202101071100, 74
202101071115, 73
202101071130, 83
202101071145, 91
202101071200, 87
202101071215, 94
202101071230, 90
202101071245, 92
202101071300, 93
202101071315, 73
202101071330, 73
202101071345, 88
202101071400, 90
202101071415, 92
202101071430, 82
202101071445, 82
202101071500, 84
202101071515, 74
202101071530, 81
202101071545, 93
202101071600, 76
202101071615, 87
202101071630, 96
202101071645, 82
202101071700, 93
202101071715, 85
202101071730, 94
202101071745, 98
202101071800, 85
202101071815, 79
202101071830, 91
202101071845, 95
202101071900, 91
202101071915, 76
202101071930, 74
202101071945, 78
202101072000, 88
202101072015, 98
202101072030, 81
202101072045, 93
202101072100, 72
202101072115, 71
202101072130, 90
202101072145, 76
202101072200, 94
202101072215, 88
202101072230, 99
202101072245, 71
202101072300, 92
202101072315, 91
202101072330, 88
202101072345, 97
202101080000, 82
202101080015, 96
202101080030, 78
202101080045, 93
202101080100, 77
202101080115, 72
202101080130, 87
202101080145, 85
202101080200, 85
202101080215, 72
202101080230, 83
202101080245, 89
202101080300, 85
202101080315, 93
202101080330, 79
202101080345, 72
202101080400, 97
202101080415, 99
202101080430, 91
202101080445, 95
202101080500, 76
202101080515, 74
202101080530, 74
202101080545, 74
202101080600, 80
202101080615, 88
202101080630, 97
202101080645, 92
202101080700, 96
202101080715, 90
202101080730, 81
202101080745, 89
202101080800, 76
202101080815, 79
202101080830, 91
202101080845, 74
202101080900, 78
202101080915, 80
202101080930, 76
202101080945, 74
202101081000, 91
202101081015, 88
202101081030, 71
202101081045, 82
202101081100, 98
202101081115, 97
202101081130, 90
202101081145, 94
202101081200, 85
202101081215, 97
202101081230, 93
202101081245, 84
202101081300, 76
202101081315, 72
202101081330, 77
202101081345, 87
202101081400, 99
202101081415, 81
202101081430, 92
202101081445, 95
202101081500, 73
202101081515, 99
202101081530, 74
202101081545, 90
202101081600, 83
202101081615, 83
202101081630, 88
202101081645, 71
202101081700, 90
202101081715, 96
202101081730, 84
202101081745, 89
202101081800, 70
202101081815, 91
202101081830, 82
202101081845, 76
202101081900, 96
202101081915, 71
202101081930, 90
202101081945, 94
202101082000, 74
202101082015, 75
202101082030, 93
202101082045, 91
202101082100, 84
202101082115, 88
202101082130, 74
202101082145, 91
202101082200, 87
202101082215, 76
202101082230, 77
202101082245, 80
202101082300, 78
202101082315, 81
202101082330, 71
202101082345, 93
202101090000, 73
202101090015, 89
202101090030, 94
202101090045, 74
202101090100, 77
202101090115, 89
202101090130, 89
202101090145, 98
202101090200, 99
202101090215, 92
202101090230, 88
202101090245, 88
202101090300, 85
202101090315, 77
202101090330, 86
202101090345, 98
202101090400, 80
202101090415, 71
202101090430, 72
202101090445, 97
202101090500, 93
202101090515, 83
202101090530, 82
202101090545, 79
202101090600, 98
202101090615, 79
202101090630, 88
202101090645, 92
202101090700, 78
202101090715, 85
202101090730, 88
202101090745, 79
202101090800, 80
202101090815, 89
202101090830, 77
202101090845, 95
202101090900, 95
202101090915, 82
202101090930, 83
202101090945, 96
202101091000, 93
202101091015, 94
202101091030, 85
202101091045, 76
202101091100, 77
202101091115, 88
202101091130, 81
202101091145, 82
202101091200, 80
202101091215, 82
202101091230, 72
202101091245, 82
202101091300, 86
202101091315, 89
202101091330, 71
202101091345, 81
202101091400, 72
202101091415, 85
202101091430, 81
202101091445, 98
202101091500, 77
202101091515, 92
202101091530, 95
202101091545, 81
202101091600, 74
202101091615, 70
202101091630, 83
202101091645, 75
202101091700, 99
202101091715, 87
202101091730, 92
202101091745, 90
202101091800, 86
202101091815, 78
202101091830, 81
202101091845, 82
202101091900, 82
202101091915, 78
202101091930, 96
202101091945, 79
202101092000, 97
202101092015, 88
202101092030, 87
202101092045, 77
202101092100, 98
202101092115, 88
202101092130, 85
202101092145, 72
202101092200, 86
202101092215, 77
202101092230, 86
202101092245, 78
202101092300, 98
202101092315, 96
202101092330, 80
202101092345, 95
202101100000, 74
202101100015, 96
202101100030, 72
202101100045, 93
202101100100, 88
202101100115, 94
202101100130, 74
202101100145, 79
202101100200, 90
202101100215, 76
202101100230, 85
202101100245, 87
202101100300, 98
202101100315, 97
202101100330, 97
202101100345, 98
202101100400, 82
202101100415, 81
202101100430, 86
202101100445, 80
202101100500, 93
202101100515, 82
202101100530, 81
202101100545, 94
202101100600, 97
202101100615, 72
202101100630, 71
202101100645, 75
202101100700, 97
202101100715, 99
202101100730, 83
202101100745, 78
202101100800, 88
202101100815, 94
202101100830, 75
202101100845, 99
202101100900, 83
202101100915, 91
202101100930, 82
202101100945, 83
202101101000, 80
202101101015, 90
202101101030, 94
202101101045, 82
202101101100, 82
202101101115, 92
202101101130, 82
202101101145, 99
202101101200, 76
202101101215, 76
202101101230, 97
202101101245, 77
202101101300, 83
202101101315, 81
202101101330, 91
202101101345, 89
202101101400, 94
202101101415, 72
202101101430, 76
202101101445, 89
202101101500, 81
202101101515, 82
202101101530, 95
202101101545, 92
202101101600, 89
202101101615, 95
202101101630, 91
202101101645, 72
202101101700, 95
202101101715, 85
202101101730, 91
202101101745, 98
202101101800, 98
202101101815, 97
202101101830, 86
202101101845, 76
202101101900, 98
202101101915, 82
202101101930, 75
202101101945, 99
202101102000, 70
202101102015, 94
202101102030, 75
202101102045, 84
202101102100, 91
202101102115, 78
202101102130, 76
202101102145, 70
202101102200, 91
202101102215, 80
202101102230, 89
202101102245, 93
202101102300, 72
202101102315, 75
202101102330, 75
202101102345, 71
202101110000, 81
202101110015, 80
202101110030, 80
202101110045, 86
202101110100, 85
202101110115, 89
202101110130, 93
202101110145, 79
202101110200, 78
202101110215, 93
202101110230, 71
202101110245, 77
202101110300, 84
202101110315, 79
202101110330, 73
202101110345, 93
202101110400, 97
202101110415, 83
202101110430, 96
202101110445, 88
202101110500, 99
202101110515, 70
202101110530, 97
202101110545, 95
202101110600, 88
202101110615, 91
202101110630, 72
202101110645, 82
202101110700, 80
202101110715, 78
202101110730, 88
202101110745, 85
202101110800, 70
202101110815, 76
202101110830, 76
202101110845, 76
202101110900, 96
202101110915, 97
202101110930, 95
202101110945, 79
202101111000, 91
202101111015, 77
202101111030, 82
202101111045, 94
202101111100, 73
202101111115, 87
202101111130, 96
202101111145, 76
202101111200, 89
202101111215, 94
202101111230, 77
202101111245, 98
202101111300, 88
202101111315, 73
202101111330, 80
202101111345, 88
202101111400, 84
202101111415, 94
202101111430, 75
202101111445, 87
202101111500, 92
202101111515, 81
202101111530, 72
202101111545, 85
202101111600, 80
202101111615, 79
202101111630, 98
202101111645, 83
202101111700, 84
202101111715, 74
202101111730, 91
202101111745, 73
202101111800, 92
202101111815, 89
202101111830, 96
202101111845, 93
202101111900, 83
202101111915, 92
202101111930, 99
202101111945, 71
202101112000, 73
202101112015, 94
202101112030, 86
202101112045, 77
202101112100, 87
202101112115, 85
202101112130, 91
202101112145, 88
202101112200, 97
202101112215, 74
202101112230, 83
202101112245, 74
202101112300, 88
202101112315, 77
202101112330, 88
202101112345, 79
202101120000, 83
202101120015, 94
202101120030, 82
202101120045, 91
202101120100, 81
202101120115, 87
202101120130, 86
202101120145, 90
202101120200, 78
202101120215, 73
202101120230, 80
202101120245, 80
202101120300, 91
202101120315, 84
202101120330, 83
202101120345, 91
202101120400, 78
202101120415, 84
202101120430, 87
202101120445, 94
202101120500, 95
202101120515, 84
202101120530, 94
202101120545, 77
202101120600, 78
202101120615, 87
202101120630, 88
202101120645, 77
202101120700, 80
202101120715, 81
202101120730, 88
202101120745, 95
202101120800, 76
202101120815, 71
202101120830, 96
202101120845, 87
202101120900, 86
202101120915, 88
202101120930, 74
202101120945, 87
202101121000, 76
202101121015, 94
202101121030, 79
202101121045, 82
202101121100, 71
202101121115, 75
202101121130, 97
202101121145, 96
202101121200, 96
202101121215, 76
202101121230, 80
202101121245, 79
202101121300, 78
202101121315, 76
202101121330, 87
202101121345, 97
202101121400, 70
202101121415, 96
202101121430, 95
202101121445, 98
202101121500, 97
202101121515, 76
202101121530, 92
202101121545, 89
202101121600, 76
202101121615, 94
202101121630, 99
202101121645, 70
202101121700, 82
202101121715, 96
202101121730, 95
202101121745, 72
202101121800, 77
202101121815, 95
202101121830, 71
202101121845, 88
202101121900, 78
202101121915, 85
202101121930, 95
202101121945, 95
202101122000, 80
202101122015, 70
202101122030, 75
202101122045, 76
202101122100, 83
202101122115, 80
202101122130, 76
202101122145, 84
202101122200, 94
202101122215, 77
202101122230, 76
202101122245, 84
202101122300, 75
202101122315, 88
202101122330, 74
202101122345, 73
202101130000, 73
202101130015, 94
202101130030, 82
202101130045, 83
202101130100, 97
202101130115, 71
202101130130, 88
202101130145, 87
202101130200, 93
202101130215, 97
202101130230, 82
202101130245, 73
202101130300, 85
202101130315, 97
202101130330, 92
202101130345, 76
202101130400, 98
202101130415, 89
202101130430, 89
202101130445, 70
202101130500, 88
202101130515, 91
202101130530, 85
202101130545, 87
202101130600, 73
202101130615, 99
202101130630, 77
202101130645, 97
202101130700, 73
202101130715, 73
202101130730, 82
202101130745, 82
202101130800, 91
202101130815, 72
202101130830, 94
202101130845, 74
202101130900, 97
202101130915, 97
202101130930, 80
202101130945, 92
202101131000, 81
202101131015, 71
202101131030, 80
202101131045, 93
202101131100, 87
202101131115, 96
202101131130, 89
202101131145, 77
202101131200, 84
202101131215, 95
202101131230, 78
202101131245, 84
202101131300, 88
202101131315, 70
202101131330, 79
202101131345, 86
202101131400, 82
202101131415, 77
202101131430, 77
202101131445, 92
202101131500, 94
202101131515, 70
202101131530, 75
202101131545, 92
202101131600, 78
202101131615, 89
202101131630, 94
202101131645, 89
202101131700, 72
202101131715, 83
202101131730, 82
202101131745, 74
202101131800, 98
202101131815, 75
202101131830, 85
202101131845, 95
202101131900, 84
202101131915, 82
202101131930, 72
202101131945, 89
202101132000, 88
202101132015, 73
202101132030, 87
202101132045, 78
202101132100, 86
202101132115, 70
202101132130, 94
202101132145, 77
202101132200, 83
202101132215, 92
202101132230, 77
202101132245, 75
202101132300, 94
202101132315, 78
202101132330, 99
202101132345, 98
202101140000, 71
202101140015, 93
202101140030, 79
202101140045, 90
202101140100, 84
202101140115, 74
202101140130, 79
202101140145, 95
202101140200, 75
202101140215, 87
202101140230, 87
202101140245, 89
202101140300, 93
202101140315, 85
202101140330, 76
202101140345, 95
202101140400, 93
202101140415, 97
202101140430, 85
202101140445, 89
202101140500, 74
202101140515, 83
202101140530, 91
202101140545, 85
202101140600, 75
202101140615, 78
202101140630, 93
202101140645, 89
202101140700, 70
202101140715, 70
202101140730, 74
202101140745, 76
202101140800, 99
202101140815, 80
202101140830, 71
202101140845, 86
202101140900, 82
202101140915, 93
202101140930, 87
202101140945, 90
202101141000, 96
202101141015, 91
202101141030, 72
202101141045, 88
202101141100, 88
202101141115, 82
202101141130, 70
202101141145, 86
202101141200, 96
202101141215, 86
202101141230, 93
202101141245, 99
202101141300, 84
202101141315, 83
202101141330, 98
202101141345, 76
202101141400, 74
202101141415, 78
202101141430, 98
202101141445, 91
202101141500, 93
202101141515, 94
202101141530, 92
202101141545, 93
202101141600, 70
202101141615, 88
202101141630, 76
202101141645, 92
202101141700, 95
202101141715, 91
202101141730, 71
202101141745, 86
202101141800, 70
202101141815, 94
202101141830, 84
202101141845, 87
202101141900, 98
202101141915, 81
202101141930, 93
202101141945, 93
202101142000, 77
202101142015, 89
202101142030, 90
202101142045, 94
202101142100, 70
202101142115, 76
202101142130, 90
202101142145, 84
202101142200, 99
202101142215, 82
202101142230, 74
202101142245, 75
202101142300, 79
202101142315, 96
202101142330, 70
202101142345, 93
202101150000, 78
202101150015, 88
202101150030, 75
202101150045, 98
202101150100, 90
202101150115, 83
202101150130, 82
202101150145, 86
202101150200, 86
202101150215, 78
202101150230, 86
202101150245, 88
202101150300, 76
202101150315, 92
202101150330, 79
202101150345, 83
202101150400, 95
202101150415, 82
202101150430, 74
202101150445, 73
202101150500, 90
202101150515, 73
202101150530, 79
202101150545, 70
202101150600, 72
202101150615, 89
202101150630, 99
202101150645, 83
202101150700, 73
202101150715, 84
202101150730, 89
202101150745, 75
202101150800, 84
202101150815, 75
202101150830, 72
202101150845, 94
202101150900, 96
202101150915, 72
202101150930, 80
202101150945, 95
202101151000, 93
202101151015, 93
202101151030, 94
202101151045, 86
202101151100, 77
202101151115, 86
202101151130, 80
202101151145, 81
202101151200, 85
202101151215, 89
202101151230, 77
202101151245, 82
202101151300, 80
202101151315, 96
202101151330, 96
202101151345, 73
202101151400, 88
202101151415, 78
202101151430, 87
202101151445, 96
202101151500, 75
202101151515, 84
202101151530, 99
202101151545, 93
202101151600, 71
202101151615, 92
202101151630, 84
202101151645, 86
202101151700, 79
202101151715, 91
202101151730, 70
202101151745, 81
202101151800, 81
202101151815, 75
202101151830, 98
202101151845, 86
202101151900, 75
202101151915, 90
202101151930, 87
202101151945, 74
202101152000, 81
202101152015, 81
202101152030, 86
202101152045, 73
202101152100, 97
202101152115, 76
202101152130, 78
202101152145, 89
202101152200, 90
202101152215, 91
202101152230, 81
202101152245, 74
202101152300, 94
202101152315, 82
202101152330, 81
202101152345, 82
202101160000, 99
202101160015, 75
202101160030, 84
202101160045, 89
202101160100, 76
202101160115, 81
202101160130, 88
202101160145, 94
202101160200, 75
202101160215, 73
202101160230, 70
202101160245, 87
202101160300, 96
202101160315, 82
202101160330, 80
202101160345, 78
202101160400, 74
202101160415, 93
202101160430, 95
202101160445, 92
202101160500, 87
202101160515, 73
202101160530, 80
202101160545, 93
202101160600, 93
202101160615, 75
202101160630, 91
202101160645, 86
202101160700, 82
202101160715, 76
202101160730, 96
202101160745, 76
202101160800, 82
202101160815, 70
202101160830, 75
202101160845, 90
202101160900, 71
202101160915, 98
202101160930, 88
202101160945, 73
202101161000, 79
202101161015, 98
202101161030, 87
202101161045, 71
202101161100, 80
202101161115, 82
202101161130, 85
202101161145, 93
202101161200, 89
202101161215, 85
202101161230, 86
202101161245, 85
202101161300, 83
202101161315, 71
202101161330, 70
202101161345, 92
202101161400, 80
202101161415, 86
202101161430, 85
202101161445, 77
202101161500, 87
202101161515, 78
202101161530, 79
202101161545, 95
202101161600, 76
202101161615, 93
202101161630, 82
202101161645, 72
202101161700, 98
202101161715, 88
202101161730, 88
202101161745, 76
202101161800, 93
202101161815, 96
202101161830, 82
202101161845, 85
202101161900, 98
202101161915, 84
202101161930, 99
202101161945, 97
202101162000, 79
202101162015, 80
202101162030, 83
202101162045, 98
202101162100, 85
202101162115, 92
202101162130, 71
202101162145, 90
202101162200, 82
202101162215, 78
202101162230, 89
202101162245, 78
202101162300, 71
202101162315, 82
202101162330, 95
202101162345, 90
202101170000, 86
202101170015, 87
202101170030, 75
202101170045, 77
202101170100, 95
202101170115, 90
202101170130, 89
202101170145, 81
202101170200, 78
202101170215, 80
202101170230, 76
202101170245, 91
202101170300, 71
202101170315, 93
202101170330, 91
202101170345, 98
202101170400, 96
202101170415, 80
202101170430, 86
202101170445, 71
202101170500, 92
202101170515, 70
202101170530, 86
202101170545, 97
202101170600, 91
202101170615, 87
202101170630, 74
202101170645, 89
202101170700, 96
202101170715, 81
202101170730, 80
202101170745, 82
202101170800, 96
202101170815, 82
202101170830, 92
202101170845, 82
202101170900, 78
202101170915, 75
202101170930, 87
202101170945, 92
202101171000, 94
202101171015, 70
202101171030, 77
202101171045, 76
202101171100, 86
202101171115, 91
202101171130, 72
202101171145, 82
202101171200, 79
202101171215, 72
202101171230, 87
202101171245, 72
202101171300, 86
202101171315, 88
202101171330, 80
202101171345, 76
202101171400, 90
202101171415, 79
202101171430, 92
202101171445, 98
202101171500, 73
202101171515, 95
202101171530, 92
202101171545, 79
202101171600, 93
202101171615, 84
202101171630, 74
202101171645, 83
202101171700, 84
202101171715, 96
202101171730, 99
202101171745, 79
202101171800, 73
202101171815, 80
202101171830, 96
202101171845, 97
202101171900, 75
202101171915, 94
202101171930, 96
202101171945, 89
202101172000, 78
202101172015, 88
202101172030, 98
202101172045, 86
202101172100, 70
202101172115, 80
202101172130, 91
202101172145, 76
202101172200, 78
202101172215, 89
202101172230, 85
202101172245, 93
202101172300, 79
202101172315, 86
202101172330, 90
202101172345, 74
202101180000, 79
202101180015, 82
202101180030, 97
202101180045, 78
202101180100, 81
202101180115, 71
202101180130, 92
202101180145, 88
202101180200, 70
202101180215, 98
202101180230, 71
202101180245, 80
202101180300, 80
202101180315, 83
202101180330, 83
202101180345, 89
202101180400, 70
202101180415, 78
202101180430, 78
202101180445, 72
202101180500, 90
202101180515, 86
202101180530, 71
202101180545, 89
202101180600, 89
202101180615, 78
202101180630, 80
202101180645, 78
202101180700, 72
202101180715, 84
202101180730, 99
202101180745, 81
202101180800, 93
202101180815, 78
202101180830, 77
202101180845, 98
202101180900, 93
202101180915, 90
202101180930, 74
202101180945, 93
202101181000, 75
202101181015, 88
202101181030, 80
202101181045, 85
202101181100, 79
202101181115, 70
202101181130, 84
202101181145, 76
202101181200, 81
202101181215, 97
202101181230, 92
202101181245, 74
202101181300, 71
202101181315, 81
202101181330, 75
202101181345, 85
202101181400, 84
202101181415, 79
202101181430, 85
202101181445, 93
202101181500, 88
202101181515, 81
202101181530, 82
202101181545, 91
202101181600, 77
202101181615, 70
202101181630, 83
202101181645, 95
202101181700, 77
202101181715, 72
202101181730, 90
202101181745, 85
202101181800, 92
202101181815, 86
202101181830, 81
202101181845, 92
202101181900, 79
202101181915, 71
202101181930, 79
202101181945, 97
202101182000, 73
202101182015, 96
202101182030, 86
202101182045, 73
202101182100, 92
202101182115, 81
202101182130, 83
202101182145, 89
202101182200, 77
202101182215, 79
202101182230, 72
202101182245, 87
202101182300, 81
202101182315, 71
202101182330, 80
202101182345, 86
202101190000, 78
202101190015, 82
202101190030, 77
202101190045, 83
202101190100, 90
202101190115, 95
202101190130, 70
202101190145, 74
202101190200, 90
202101190215, 85
202101190230, 74
