Organization : org2
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy declaration in MWh>, <energy production in MWh>
202201040100, 119, 124
202201040115, 134, 112
202201040130, 105, 121
202201040145, 128, 108
202201040200, 108, 97
202201040215, 130, 105
202201040230, 117, 97
202201040245, 118, 97
202201040300, 114, 106
202201040315, 122, 99
202201040330, 119, 99
202201040345, 117, 107
202201040400, 111, 111
202201040415, 107, 96
202201040430, 111, 119
202201040445, 110, 99
202201040500, 125, 115
202201040515, 125, 122
202201040530, 118, 121
202201040545, 118, 98
202201040600, 126, 113
202201040615, 108, 122
202201040630, 132, 99
202201040645, 127, 121
202201040700, 134, 115
202201040715, 126, 120
202201040730, 116, 120
202201040745, 111, 117
202201040800, 122, 103
202201040815, 110, 104
202201040830, 105, 119
202201040845, 114, 113
202201040900, 109, 115
202201040915, 127, 122
202201040930, 117, 119
202201040945, 126, 117
202201041000, 105, 106
202201041015, 126, 106
202201041030, 106, 111
202201041045, 105, 114
202201041100, 109, 122
202201041115, 115, 110
202201041130, 106, 97
202201041145, 109, 121
202201041200, 127, 99
202201041215, 125, 96
202201041230, 115, 113
202201041245, 130, 98
202201041300, 127, 102
202201041315, 110, 110
202201041330, 118, 99
202201041345, 127, 97
202201041400, 126, 118
202201041415, 113, 105
202201041430, 116, 108
202201041445, 112, 99
202201041500, 125, 106
202201041515, 107, 110
202201041530, 123, 101
202201041545, 119, 104
202201041600, 121, 122
202201041615, 113, 120
202201041630, 105, 97
202201041645, 113, 100
202201041700, 118, 116
202201041715, 119, 107
202201041730, 113, 111
202201041745, 120, 108
202201041800, 123, 120
202201041815, 122, 95
202201041830, 126, 116
202201041845, 124, 109
202201041900, 117, 116
202201041915, 125, 109
202201041930, 107, 124
202201041945, 117, 100
202201042000, 113, 106
202201042015, 118, 115
202201042030, 131, 117
202201042045, 110, 123
202201042100, 124, 121
202201042115, 132, 97
202201042130, 118, 104
202201042145, 112, 112
202201042200, 134, 105
202201042215, 123, 122
202201042230, 109, 102
202201042245, 130, 107
202201042300, 130, 124
202201042315, 126, 95
202201042330, 131, 117
202201042345, 113, 96
202201050000, 108, 124
202201050015, 105, 121
202201050030, 116, 101
202201050045, 116, 119
202201050100, 123, 97
202201050115, 126, 123
202201050130, 130, 103
202201050145, 123, 107
202201050200, 126, 111
202201050215, 114, 95
202201050230, 134, 116
202201050245, 118, 110
202201050300, 130, 111
202201050315, 132, 98
202201050330, 109, 100
202201050345, 133, 96
202201050400, 110, 121
202201050415, 117, 123
202201050430, 117, 117
202201050445, 125, 118
202201050500, 105, 122
202201050515, 107, 96
202201050530, 129, 96
202201050545, 114, 97
202201050600, 127, 119
202201050615, 120, 105
202201050630, 108, 117
202201050645, 118, 122
202201050700, 121, 96
202201050715, 119, 97
202201050730, 134, 108
202201050745, 110, 122
202201050800, 124, 97
202201050815, 125, 111
202201050830, 120, 120
202201050845, 131, 106
202201050900, 113, 115
202201050915, 105, 120
202201050930, 105, 122
202201050945, 128, 102
202201051000, 112, 99
202201051015, 115, 97
202201051030, 132, 114
202201051045, 114, 101
202201051100, 129, 99
202201051115, 118, 95
202201051130, 106, 110
202201051145, 123, 105
202201051200, 130, 115
202201051215, 115, 123
202201051230, 132, 108
202201051245, 127, 99
202201051300, 131, 122
202201051315, 128, 95
202201051330, 110, 102
202201051345, 128, 101
202201051400, 115, 98
202201051415, 134, 97
202201051430, 106, 101
202201051445, 122, 112
202201051500, 116, 122
202201051515, 130, 96
202201051530, 134, 107
202201051545, 117, 107
202201051600, 125, 109
202201051615, 130, 117
202201051630, 128, 102
202201051645, 115, 116
202201051700, 130, 109
202201051715, 111, 124
202201051730, 107, 111
202201051745, 119, 113
202201051800, 110, 123
202201051815, 121, 123
202201051830, 110, 119
202201051845, 109, 123
202201051900, 129, 121
202201051915, 120, 99
202201051930, 121, 106
202201051945, 107, 104
202201052000, 115, 101
202201052015, 126, 102
202201052030, 134, 102
202201052045, 125, 99
202201052100, 117, 121
202201052115, 114, 118
202201052130, 108, 122
202201052145, 120, 98
202201052200, 113, 106
202201052215, 132, 106
202201052230, 128, 100
202201052245, 116, 111
202201052300, 123, 100
202201052315, 127, 98
202201052330, 124, 96
202201052345, 134, 109
202201060000, 112, 114
202201060015, 129, 110
202201060030, 113, 122
202201060045, 133, 114
202201060100, 116, 96
202201060115, 116, 120
202201060130, 116, 111
202201060145, 119, 107
202201060200, 120, 99
202201060215, 111, 102
202201060230, 106, 98
202201060245, 105, 98
202201060300, 106, 108
202201060315, 111, 124
202201060330, 114, 124
202201060345, 131, 117
202201060400, 112, 106
202201060415, 110, 119
202201060430, 125, 108
202201060445, 109, 101
202201060500, 124, 97
202201060515, 117, 122
202201060530, 119, 97
202201060545, 122, 110
202201060600, 112, 119
202201060615, 133, 108
202201060630, 113, 107
202201060645, 111, 117
202201060700, 109, 102
202201060715, 117, 115
202201060730, 121, 109
202201060745, 120, 120
202201060800, 125, 111
202201060815, 129, 117
202201060830, 118, 106
202201060845, 122, 114
202201060900, 131, 117
202201060915, 118, 113
202201060930, 116, 122
202201060945, 114, 123
202201061000, 134, 106
202201061015, 114, 122
202201061030, 133, 123
202201061045, 112, 103
202201061100, 114, 96
202201061115, 116, 119
202201061130, 123, 116
202201061145, 118, 114
202201061200, 123, 105
202201061215, 118, 122
202201061230, 134, 124
202201061245, 121, 122
202201061300, 120, 113
202201061315, 128, 102
202201061330, 113, 99
202201061345, 110, 108
202201061400, 127, 112
202201061415, 130, 109
202201061430, 111, 97
202201061445, 121, 104
202201061500, 123, 105
202201061515, 117, 100
202201061530, 107, 96
202201061545, 128, 112
202201061600, 109, 97
202201061615, 117, 114
202201061630, 133, 97
202201061645, 110, 119
202201061700, 131, 118
202201061715, 122, 105
202201061730, 115, 115
202201061745, 114, 100
202201061800, 130, 119
202201061815, 111, 107
202201061830, 134, 109
202201061845, 128, 124
202201061900, 120, 107
202201061915, 134, 107
202201061930, 110, 104
202201061945, 130, 109
202201062000, 105, 114
202201062015, 110, 108
202201062030, 117, 119
202201062045, 116, 123
202201062100, 118, 103
202201062115, 131, 105
202201062130, 120, 104
202201062145, 110, 120
202201062200, 108, 107
202201062215, 115, 112
202201062230, 109, 108
202201062245, 121, 108
202201062300, 110, 108
202201062315, 105, 109
202201062330, 127, 123
202201062345, 120, 112
202201070000, 117, 112
202201070015, 109, 105
202201070030, 113, 109
202201070045, 105, 96
202201070100, 119, 109
202201070115, 122, 110
202201070130, 107, 110
202201070145, 132, 113
202201070200, 120, 118
202201070215, 113, 120
202201070230, 112, 106
202201070245, 122, 123
202201070300, 105, 98
202201070315, 125, 117
202201070330, 123, 99
202201070345, 114, 100
202201070400, 118, 103
202201070415, 123, 107
202201070430, 114, 106
202201070445, 117, 104
202201070500, 129, 107
202201070515, 114, 119
202201070530, 126, 97
202201070545, 120, 122
202201070600, 113, 96
202201070615, 126, 108
202201070630, 118, 110
202201070645, 131, 111
202201070700, 120, 121
202201070715, 124, 107
202201070730, 134, 116
202201070745, 132, 95
202201070800, 131, 114
202201070815, 115, 104
202201070830, 119, 124
202201070845, 106, 105
202201070900, 127, 108
202201070915, 128, 114
202201070930, 108, 124
202201070945, 132, 112
202201071000, 111, 99
202201071015, 123, 113
202201071030, 112, 100
202201071045, 114, 113
202201071100, 109, 100
202201071115, 114, 97
202201071130, 131, 97
202201071145, 123, 101
202201071200, 119, 112
202201071215, 123, 103
202201071230, 114, 106
202201071245, 116, 97
202201071300, 119, 100
202201071315, 105, 100
202201071330, 122, 124
202201071345, 126, 98
202201071400, 106, 96
202201071415, 126, 112
202201071430, 110, 118
202201071445, 133, 112
202201071500, 129, 117
202201071515, 120, 102
202201071530, 118, 100
202201071545, 130, 104
202201071600, 126, 121
202201071615, 124, 116
202201071630, 130, 100
202201071645, 118, 123
202201071700, 112, 117
202201071715, 111, 102
202201071730, 107, 97
202201071745, 109, 107
202201071800, 114, 96
202201071815, 105, 124
202201071830, 113, 97
202201071845, 119, 98
202201071900, 117, 118
202201071915, 128, 118
202201071930, 106, 102
202201071945, 111, 119
202201072000, 125, 121
202201072015, 107, 102
202201072030, 111, 115
202201072045, 112, 121
202201072100, 134, 98
202201072115, 112, 112
202201072130, 117, 114
202201072145, 134, 110
202201072200, 111, 107
202201072215, 115, 109
202201072230, 129, 114
202201072245, 134, 101
202201072300, 129, 97
202201072315, 115, 120
202201072330, 105, 104
202201072345, 131, 107
202201080000, 119, 95
202201080015, 109, 108
202201080030, 118, 108
202201080045, 120, 115
202201080100, 124, 108
202201080115, 121, 102
202201080130, 110, 118
202201080145, 119, 105
202201080200, 122, 110
202201080215, 106, 114
202201080230, 115, 100
202201080245, 122, 121
202201080300, 112, 102
202201080315, 107, 112
202201080330, 113, 123
202201080345, 134, 114
202201080400, 113, 114
202201080415, 129, 102
202201080430, 125, 96
202201080445, 105, 109
202201080500, 111, 107
202201080515, 121, 124
202201080530, 108, 111
202201080545, 128, 99
202201080600, 134, 114
202201080615, 121, 118
202201080630, 112, 109
202201080645, 127, 107
202201080700, 106, 118
202201080715, 120, 107
202201080730, 122, 109
202201080745, 122, 115
202201080800, 114, 95
202201080815, 116, 106
202201080830, 114, 114
202201080845, 127, 120
202201080900, 119, 97
202201080915, 132, 115
202201080930, 107, 99
202201080945, 132, 105
202201081000, 116, 120
202201081015, 115, 122
202201081030, 128, 96
202201081045, 106, 104
202201081100, 121, 106
202201081115, 125, 121
202201081130, 110, 115
202201081145, 134, 120
202201081200, 132, 119
202201081215, 117, 106
202201081230, 131, 105
202201081245, 116, 119
202201081300, 113, 118
202201081315, 106, 112
202201081330, 112, 118
202201081345, 123, 119
202201081400, 133, 108
202201081415, 127, 119
202201081430, 130, 108
202201081445, 122, 105
202201081500, 107, 109
202201081515, 120, 119
202201081530, 127, 103
202201081545, 114, 97
202201081600, 120, 117
202201081615, 116, 104
202201081630, 128, 112
202201081645, 118, 101
202201081700, 109, 101
202201081715, 131, 109
202201081730, 125, 103
202201081745, 129, 95
202201081800, 119, 104
202201081815, 132, 123
202201081830, 110, 114
202201081845, 111, 118
202201081900, 114, 124
202201081915, 112, 115
202201081930, 123, 119
202201081945, 112, 111
202201082000, 124, 121
202201082015, 106, 113
202201082030, 107, 108
202201082045, 108, 119
202201082100, 115, 105
202201082115, 113, 108
202201082130, 110, 124
202201082145, 129, 107
202201082200, 122, 119
202201082215, 116, 123
202201082230, 129, 115
202201082245, 113, 113
202201082300, 119, 106
202201082315, 133, 110
202201082330, 109, 119
202201082345, 129, 102
202201090000, 117, 101
202201090015, 132, 97
202201090030, 118, 123
202201090045, 113, 120
202201090100, 115, 123
202201090115, 110, 122
202201090130, 109, 111
202201090145, 130, 108
202201090200, 117, 102
202201090215, 112, 106
202201090230, 133, 108
202201090245, 127, 100
202201090300, 131, 111
202201090315, 110, 117
202201090330, 109, 124
202201090345, 127, 123
202201090400, 132, 109
202201090415, 108, 96
202201090430, 124, 121
202201090445, 133, 106
202201090500, 124, 109
202201090515, 115, 112
202201090530, 111, 123
202201090545, 132, 121
202201090600, 106, 99
202201090615, 114, 111
202201090630, 124, 124
202201090645, 107, 98
202201090700, 125, 98
202201090715, 130, 102
202201090730, 126, 108
202201090745, 129, 98
202201090800, 117, 120
202201090815, 122, 121
202201090830, 124, 99
202201090845, 111, 115
202201090900, 127, 102
202201090915, 114, 114
202201090930, 130, 108
202201090945, 112, 115
202201091000, 125, 109
202201091015, 128, 116
202201091030, 126, 98
202201091045, 120, 108
202201091100, 105, 103
202201091115, 122, 98
202201091130, 116, 109
202201091145, 124, 123
202201091200, 115, 120
202201091215, 130, 115
202201091230, 129, 117
202201091245, 121, 99
202201091300, 105, 106
202201091315, 120, 100
202201091330, 132, 115
202201091345, 107, 105
202201091400, 112, 109
202201091415, 119, 120
202201091430, 125, 99
202201091445, 105, 124
202201091500, 121, 101
202201091515, 107, 119
202201091530, 119, 123
202201091545, 129, 96
202201091600, 112, 121
202201091615, 128, 117
202201091630, 113, 120
202201091645, 127, 100
202201091700, 133, 119
202201091715, 119, 115
202201091730, 106, 114
202201091745, 123, 121
202201091800, 129, 97
202201091815, 122, 116
202201091830, 128, 100
202201091845, 108, 112
202201091900, 128, 120
202201091915, 127, 122
202201091930, 121, 96
202201091945, 133, 116
202201092000, 125, 99
202201092015, 113, 124
202201092030, 126, 118
202201092045, 107, 120
202201092100, 105, 110
202201092115, 132, 114
202201092130, 116, 123
202201092145, 108, 108
202201092200, 128, 119
202201092215, 114, 119
202201092230, 127, 115
202201092245, 117, 108
202201092300, 131, 109
202201092315, 112, 105
202201092330, 121, 110
202201092345, 121, 121
202201100000, 120, 97
202201100015, 112, 102
202201100030, 109, 105
202201100045, 108, 112
202201100100, 114, 122
202201100115, 108, 96
202201100130, 105, 114
202201100145, 114, 102
202201100200, 107, 113
202201100215, 117, 122
202201100230, 111, 113
202201100245, 108, 116
202201100300, 117, 111
202201100315, 113, 106
202201100330, 112, 98
202201100345, 114, 102
202201100400, 116, 97
202201100415, 109, 97
202201100430, 131, 95
202201100445, 125, 112
202201100500, 118, 119
202201100515, 122, 117
202201100530, 133, 110
202201100545, 128, 122
202201100600, 121, 121
202201100615, 129, 100
202201100630, 112, 116
202201100645, 132, 113
202201100700, 105, 98
202201100715, 132, 95
202201100730, 119, 107
202201100745, 129, 107
202201100800, 108, 121
202201100815, 109, 122
202201100830, 120, 118
202201100845, 112, 114
202201100900, 118, 98
202201100915, 120, 117
202201100930, 131, 109
202201100945, 119, 115
202201101000, 123, 100
202201101015, 122, 122
202201101030, 133, 116
202201101045, 119, 112
202201101100, 117, 104
202201101115, 129, 108
202201101130, 123, 115
202201101145, 113, 115
202201101200, 120, 117
202201101215, 109, 111
202201101230, 127, 115
202201101245, 128, 97
202201101300, 116, 104
202201101315, 128, 114
202201101330, 130, 106
202201101345, 110, 115
202201101400, 114, 116
202201101415, 111, 116
202201101430, 124, 96
202201101445, 127, 103
202201101500, 129, 102
202201101515, 106, 105
202201101530, 119, 112
202201101545, 115, 98
202201101600, 122, 110
202201101615, 132, 97
202201101630, 107, 120
202201101645, 126, 119
202201101700, 115, 122
202201101715, 122, 118
202201101730, 130, 122
202201101745, 129, 102
202201101800, 131, 95
202201101815, 112, 95
202201101830, 125, 116
202201101845, 118, 102
202201101900, 120, 113
202201101915, 124, 107
202201101930, 134, 101
202201101945, 130, 98
202201102000, 131, 118
202201102015, 120, 119
202201102030, 128, 111
202201102045, 108, 102
202201102100, 128, 97
202201102115, 128, 107
202201102130, 126, 96
202201102145, 130, 113
202201102200, 120, 106
202201102215, 114, 99
202201102230, 132, 100
202201102245, 123, 118
202201102300, 114, 111
202201102315, 107, 98
202201102330, 126, 117
202201102345, 107, 101
202201110000, 118, 114
202201110015, 106, 105
202201110030, 117, 117
202201110045, 129, 113
202201110100, 117, 97
202201110115, 116, 121
202201110130, 120, 115
202201110145, 115, 122
202201110200, 112, 106
202201110215, 119, 101
202201110230, 112, 121
202201110245, 131, 107
202201110300, 111, 101
202201110315, 120, 104
202201110330, 107, 122
202201110345, 106, 121
202201110400, 126, 118
202201110415, 114, 110
202201110430, 115, 111
202201110445, 133, 102
202201110500, 122, 121
202201110515, 120, 105
202201110530, 106, 101
202201110545, 116, 124
202201110600, 132, 99
202201110615, 128, 109
202201110630, 115, 112
202201110645, 112, 107
202201110700, 124, 124
202201110715, 125, 122
202201110730, 124, 103
202201110745, 105, 100
202201110800, 118, 124
202201110815, 132, 111
202201110830, 124, 103
202201110845, 110, 117
202201110900, 131, 118
202201110915, 123, 121
202201110930, 116, 117
202201110945, 113, 120
202201111000, 114, 101
202201111015, 125, 102
202201111030, 131, 108
202201111045, 117, 117
202201111100, 112, 98
202201111115, 130, 105
202201111130, 122, 123
202201111145, 123, 102
202201111200, 126, 107
202201111215, 124, 101
202201111230, 117, 105
202201111245, 118, 114
202201111300, 119, 95
202201111315, 129, 122
202201111330, 128, 96
202201111345, 113, 109
202201111400, 112, 112
202201111415, 116, 112
202201111430, 111, 107
202201111445, 127, 115
202201111500, 123, 121
202201111515, 122, 106
202201111530, 125, 116
202201111545, 119, 123
202201111600, 118, 113
202201111615, 124, 124
202201111630, 131, 99
202201111645, 127, 99
202201111700, 111, 107
202201111715, 126, 101
202201111730, 122, 114
202201111745, 109, 124
202201111800, 110, 100
202201111815, 123, 103
202201111830, 111, 110
202201111845, 130, 105
202201111900, 127, 112
202201111915, 122, 103
202201111930, 111, 96
202201111945, 119, 107
202201112000, 133, 109
202201112015, 129, 116
202201112030, 126, 111
202201112045, 107, 102
202201112100, 106, 108
202201112115, 124, 116
202201112130, 128, 105
202201112145, 126, 109
202201112200, 109, 105
202201112215, 129, 114
202201112230, 116, 118
202201112245, 109, 124
202201112300, 108, 102
202201112315, 134, 116
202201112330, 130, 96
202201112345, 131, 106
202201120000, 133, 113
202201120015, 132, 96
202201120030, 125, 118
202201120045, 114, 113
202201120100, 121, 121
202201120115, 115, 114
202201120130, 119, 100
202201120145, 124, 122
202201120200, 117, 104
202201120215, 115, 95
202201120230, 127, 103
202201120245, 127, 112
202201120300, 123, 96
202201120315, 120, 100
202201120330, 127, 103
202201120345, 134, 105
202201120400, 117, 102
202201120415, 116, 104
202201120430, 114, 98
202201120445, 113, 110
202201120500, 106, 101
202201120515, 110, 103
202201120530, 109, 99
202201120545, 112, 107
202201120600, 128, 95
202201120615, 106, 98
202201120630, 118, 96
202201120645, 112, 97
202201120700, 116, 114
202201120715, 112, 104
202201120730, 108, 104
202201120745, 116, 102
202201120800, 115, 113
202201120815, 116, 103
202201120830, 110, 104
202201120845, 130, 101
202201120900, 106, 116
202201120915, 117, 96
202201120930, 123, 111
202201120945, 118, 112
202201121000, 134, 109
202201121015, 119, 100
202201121030, 113, 110
202201121045, 124, 106
202201121100, 106, 122
202201121115, 126, 99
202201121130, 123, 122
202201121145, 128, 96
202201121200, 114, 115
202201121215, 129, 110
202201121230, 128, 121
202201121245, 126, 120
202201121300, 127, 109
202201121315, 122, 119
202201121330, 125, 102
202201121345, 131, 120
202201121400, 111, 105
202201121415, 132, 116
202201121430, 119, 97
202201121445, 118, 123
202201121500, 105, 110
202201121515, 126, 107
202201121530, 122, 104
202201121545, 118, 115
202201121600, 121, 104
202201121615, 118, 115
202201121630, 128, 109
202201121645, 124, 109
202201121700, 118, 95
202201121715, 110, 100
202201121730, 111, 118
202201121745, 129, 99
202201121800, 127, 111
202201121815, 133, 104
202201121830, 111, 109
202201121845, 108, 119
202201121900, 112, 99
202201121915, 133, 124
202201121930, 126, 112
202201121945, 120, 100
202201122000, 121, 102
202201122015, 118, 109
202201122030, 121, 114
202201122045, 111, 110
202201122100, 113, 99
202201122115, 108, 119
202201122130, 126, 106
202201122145, 127, 99
202201122200, 107, 112
202201122215, 134, 105
202201122230, 130, 96
202201122245, 114, 99
202201122300, 129, 123
202201122315, 105, 118
202201122330, 105, 107
202201122345, 132, 100
202201130000, 127, 117
202201130015, 118, 123
202201130030, 125, 105
202201130045, 132, 103
202201130100, 124, 109
202201130115, 108, 117
202201130130, 126, 109
202201130145, 117, 123
202201130200, 111, 122
202201130215, 124, 111
202201130230, 129, 102
202201130245, 114, 103
202201130300, 130, 114
202201130315, 118, 123
202201130330, 118, 113
202201130345, 113, 116
202201130400, 126, 105
202201130415, 116, 107
202201130430, 130, 113
202201130445, 119, 113
202201130500, 130, 107
202201130515, 120, 111
202201130530, 109, 99
202201130545, 120, 111
202201130600, 107, 111
202201130615, 106, 104
202201130630, 127, 95
202201130645, 123, 115
202201130700, 109, 95
202201130715, 114, 117
202201130730, 121, 120
202201130745, 114, 100
202201130800, 111, 115
202201130815, 109, 99
202201130830, 126, 96
202201130845, 129, 112
202201130900, 107, 116
202201130915, 112, 108
202201130930, 132, 117
202201130945, 130, 97
202201131000, 107, 103
202201131015, 108, 106
202201131030, 119, 106
202201131045, 120, 121
202201131100, 106, 105
202201131115, 113, 98
202201131130, 134, 100
202201131145, 111, 123
202201131200, 120, 107
202201131215, 122, 115
202201131230, 115, 113
202201131245, 112, 116
202201131300, 109, 116
202201131315, 121, 104
202201131330, 109, 115
202201131345, 119, 109
202201131400, 131, 111
202201131415, 106, 110
202201131430, 129, 109
202201131445, 105, 98
202201131500, 127, 114
202201131515, 127, 124
202201131530, 127, 103
202201131545, 111, 104
202201131600, 109, 111
202201131615, 105, 108
202201131630, 128, 122
202201131645, 118, 95
202201131700, 105, 123
202201131715, 122, 102
202201131730, 125, 119
202201131745, 129, 102
202201131800, 112, 97
202201131815, 108, 119
202201131830, 114, 100
202201131845, 131, 98
202201131900, 132, 124
202201131915, 128, 105
202201131930, 134, 96
202201131945, 125, 114
202201132000, 109, 118
202201132015, 128, 98
202201132030, 131, 116
202201132045, 106, 109
202201132100, 130, 105
202201132115, 108, 101
202201132130, 131, 97
202201132145, 116, 119
202201132200, 115, 97
202201132215, 126, 110
202201132230, 108, 108
202201132245, 132, 116
202201132300, 115, 103
202201132315, 128, 112
202201132330, 109, 112
202201132345, 113, 110
202201140000, 112, 107
202201140015, 124, 95
202201140030, 114, 112
202201140045, 121, 106
202201140100, 115, 112
202201140115, 127, 96
202201140130, 120, 110
202201140145, 111, 123
202201140200, 125, 123
202201140215, 129, 114
202201140230, 121, 110
202201140245, 123, 107
202201140300, 123, 102
202201140315, 107, 118
